Time ,epoch,stage,train loss,accuracy
44:59.8,1,0.76,0.337154508,82.5
45:01.1,1,0.7616,0.288417637,90
45:02.4,1,0.7632,0.445283651,87.5
45:03.7,1,0.7648,0.384940147,90
45:05.0,1,0.7664,0.419672549,80
45:06.3,1,0.768,0.217174694,95
45:07.6,1,0.7696,0.54677546,82.5
45:08.9,1,0.7712,0.39452517,87.5
45:10.2,1,0.7728,0.430357844,90
45:11.6,1,0.7744,0.583618462,80
45:12.9,1,0.776,0.340251207,92.5
45:14.2,1,0.7776,0.442067087,80
45:15.5,1,0.7792,0.438499689,87.5
45:16.8,1,0.7808,0.271075875,90
45:18.1,1,0.7824,0.429189384,82.5
45:19.4,1,0.784,0.528203726,80
45:20.7,1,0.7856,0.376047105,87.5
45:22.0,1,0.7872,0.270274103,92.5
45:23.3,1,0.7888,0.630405784,82.5
45:24.6,1,0.7904,0.215215564,90
45:25.9,1,0.792,0.201178044,92.5
45:27.2,1,0.7936,0.64115274,85
45:28.5,1,0.7952,0.324812949,87.5
45:29.8,1,0.7968,0.539855182,80
45:31.2,1,0.7984,0.405814171,85
45:32.5,1,0.8,0.289476603,87.5
45:33.8,1,0.8016,0.359691918,90
45:35.1,1,0.8032,0.300893694,92.5
45:36.4,1,0.8048,0.104238167,97.5
45:37.7,1,0.8064,0.370399058,90
45:39.0,1,0.808,0.390312195,87.5
45:40.3,1,0.8096,0.442139536,85
45:41.6,1,0.8112,0.288607627,90
45:42.9,1,0.8128,0.210359603,92.5
45:44.2,1,0.8144,0.22681503,95
45:45.5,1,0.816,0.197568998,90
45:46.8,1,0.8176,0.30426535,90
45:48.1,1,0.8192,0.322987676,87.5
45:49.4,1,0.8208,0.196466029,92.5
45:50.7,1,0.8224,0.112201534,97.5
45:52.0,1,0.824,0.116540149,95
45:53.3,1,0.8256,0.341105461,82.5
45:54.6,1,0.8272,0.240573645,92.5
45:55.9,1,0.8288,0.33696121,87.5
45:57.2,1,0.8304,0.602333546,82.5
45:58.5,1,0.832,0.328309357,85
45:59.8,1,0.8336,0.18278341,95
46:01.1,1,0.8352,0.516994417,85
46:02.4,1,0.8368,0.699685335,80
46:03.7,1,0.8384,0.135415867,95
46:05.0,1,0.84,0.254114568,85
46:06.3,1,0.8416,0.32118091,87.5
46:07.6,1,0.8432,0.136219472,100
46:08.9,1,0.8448,0.443323225,82.5
46:10.2,1,0.8464,0.519300461,82.5
46:11.5,1,0.848,0.154787257,95
46:12.8,1,0.8496,0.378149897,90
46:14.1,1,0.8512,0.341649234,85
46:15.5,1,0.8528,0.344391972,85
46:16.8,1,0.8544,0.352071732,87.5
46:18.1,1,0.856,0.379187286,92.5
46:19.4,1,0.8576,0.287856966,92.5
46:20.7,1,0.8592,0.117040493,97.5
46:22.0,1,0.8608,0.14863345,97.5
46:23.3,1,0.8624,0.244160369,87.5
46:24.6,1,0.864,0.33987233,92.5
46:25.9,1,0.8656,0.219671279,87.5
46:27.2,1,0.8672,0.28018862,92.5
46:28.5,1,0.8688,0.385621965,85
46:29.8,1,0.8704,0.261101604,87.5
46:31.1,1,0.872,0.210386395,92.5
46:32.4,1,0.8736,0.467763603,82.5
46:33.7,1,0.8752,0.231099129,95
46:35.0,1,0.8768,0.30914405,92.5
46:36.3,1,0.8784,0.247178227,90
46:37.6,1,0.88,0.363881767,90
46:38.9,1,0.8816,0.606636882,82.5
46:40.2,1,0.8832,0.110756576,97.5
46:41.5,1,0.8848,0.268212706,92.5
46:42.8,1,0.8864,0.297902495,85
46:44.1,1,0.888,0.287316978,92.5
46:45.4,1,0.8896,0.483215481,92.5
46:46.7,1,0.8912,0.386876255,87.5
46:48.0,1,0.8928,0.188073143,87.5
46:49.3,1,0.8944,0.149194121,97.5
46:50.6,1,0.896,0.145178422,95
46:51.9,1,0.8976,0.256255358,85
46:53.2,1,0.8992,0.325913459,90
46:54.5,1,0.9008,0.496860445,82.5
46:55.8,1,0.9024,0.213820413,92.5
46:57.1,1,0.904,0.270347774,92.5
46:58.4,1,0.9056,0.354361475,90
46:59.7,1,0.9072,0.190115333,95
47:01.0,1,0.9088,0.400122732,82.5
